Sample Number,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
   1,Feb/24/2020,05:57:24, 407,1893,2300,0.823,4.651
   2,Feb/24/2020,05:57:36, 428,1833,2261,0.810,4.282
   3,Feb/24/2020,05:58:02, 367,1567,1934,0.810,4.269
   4,Feb/24/2020,05:58:53, 372,1619,1991,0.813,4.352
   5,Feb/24/2020,05:59:10, 366,1690,2056,0.821,4.617
   6,Feb/24/2020,05:59:27, 472,1754,2226,0.787,3.716
   7,Feb/24/2020,05:59:42, 390,1353,1743,0.776,3.469
   8,Feb/24/2020,06:00:00, 427,1685,2112,0.797,3.946
   9,Feb/24/2020,06:00:16, 358,1437,1795,0.800,4.013
  10,Feb/24/2020,06:00:30, 385,1492,1877,0.794,3.875
  11,Feb/24/2020,06:01:05, 428,1701,2129,0.798,3.974
  12,Feb/24/2020,06:01:25, 458,1686,2144,0.786,3.681
  13,Feb/24/2020,06:01:46, 332,1593,1925,0.827,4.798
  14,Feb/24/2020,06:02:27, 439,1175,1614,0.728,2.676
  15,Feb/24/2020,06:02:55, 420,1605,2025,0.792,3.821
  16,Feb/24/2020,06:03:18, 399,1797,2196,0.818,4.503
  17,Feb/24/2020,06:03:33, 404,1577,1981,0.796,3.903
  18,Feb/24/2020,06:03:55, 472,1679,2151,0.780,3.557
  19,Feb/24/2020,06:04:35, 265, 995,1260,0.789,3.754
  20,Feb/24/2020,06:04:49, 380,1739,2119,0.820,4.576
  21,Feb/24/2020,06:05:16, 435,1725,2160,0.798,3.965
  22,Feb/24/2020,06:05:38, 477,1534,2011,0.762,3.215
  23,Feb/24/2020,06:06:09, 453,1401,1854,0.755,3.092
  24,Feb/24/2020,06:06:21, 470,1519,1989,0.763,3.231
  25,Feb/24/2020,06:06:40, 367,1567,1934,0.810,4.269
  26,Feb/24/2020,06:06:54, 349,1289,1638,0.786,3.693
  27,Feb/24/2020,06:07:08, 455,1651,2106,0.783,3.628
  28,Feb/24/2020,06:07:20, 416,1413,1829,0.772,3.396
  29,Feb/24/2020,06:07:48, 391,1403,1794,0.782,3.588
  30,Feb/24/2020,06:08:03, 581,1467,2048,0.716,2.524
  31,Feb/24/2020,06:08:16, 381,1678,2059,0.814,4.404
  32,Feb/24/2020,06:08:32, 374,1429,1803,0.792,3.820
  33,Feb/24/2020,06:08:48, 348,1124,1472,0.763,3.229
  34,Feb/24/2020,06:09:06, 415,1703,2118,0.804,4.103
  35,Feb/24/2020,06:09:24, 372,1440,1812,0.794,3.870
  36,Feb/24/2020,06:09:44, 424,1166,1590,0.733,2.750
  37,Feb/24/2020,06:10:04, 388,1275,1663,0.766,3.286
  38,Feb/24/2020,06:10:23, 325,1337,1662,0.804,4.113
  39,Feb/24/2020,06:10:43, 291,1382,1673,0.826,4.749
  40,Feb/24/2020,06:11:01, 323,1562,1885,0.828,4.835
  41,Feb/24/2020,06:11:17, 379,1343,1722,0.779,3.543
  42,Feb/24/2020,06:11:39, 393,1439,1832,0.785,3.661
  43,Feb/24/2020,06:12:01, 347,1247,1594,0.782,3.593
  44,Feb/24/2020,06:12:22, 413,1135,1548,0.733,2.748
  45,Feb/24/2020,06:12:47, 338,1444,1782,0.810,4.272
  46,Feb/24/2020,06:13:16, 356,1695,2051,0.826,4.761
  47,Feb/24/2020,06:13:33, 262, 849,1111,0.764,3.240
  48,Feb/24/2020,06:13:47, 360,1609,1969,0.817,4.469
  49,Feb/24/2020,06:14:05, 410,1286,1696,0.758,3.136
  50,Feb/24/2020,06:14:19, 363,1495,1858,0.804,4.118
  51,Feb/24/2020,06:14:32, 367,1424,1791,0.795,3.880
  52,Feb/24/2020,06:14:49, 468,1010,1478,0.683,2.158
  53,Feb/24/2020,06:15:22, 415,1687,2102,0.802,4.065
  54,Feb/24/2020,06:16:00, 461,1700,2161,0.786,3.687
  55,Feb/24/2020,06:16:16, 373,1639,2012,0.814,4.394
  56,Feb/24/2020,06:16:31, 360,1251,1611,0.776,3.475
  57,Feb/24/2020,06:16:48, 359,1705,2064,0.826,4.749
  58,Feb/24/2020,06:17:04, 422,1460,1882,0.775,3.459
  59,Feb/24/2020,06:17:44, 292,1040,1332,0.780,3.561
  60,Feb/24/2020,06:18:00, 462,1381,1843,0.749,2.989
  61,Feb/24/2020,06:18:11, 355,1431,1786,0.801,4.030
  62,Feb/24/2020,06:18:24, 399,1687,2086,0.808,4.228
  63,Feb/24/2020,06:18:40, 402,1399,1801,0.776,3.480
  64,Feb/24/2020,06:18:57, 398,1440,1838,0.783,3.618
  65,Feb/24/2020,06:19:12, 407,1631,2038,0.800,4.007
  66,Feb/24/2020,06:19:47, 405, 391, 796,0.491,0.965
  67,Feb/24/2020,06:20:09, 381,1585,1966,0.806,4.160
  68,Feb/24/2020,06:21:00, 361,1422,1783,0.797,3.939
  69,Feb/24/2020,06:21:20, 419,1584,2003,0.790,3.780
  70,Feb/24/2020,06:21:43, 394,1594,1988,0.801,4.045
  71,Feb/24/2020,06:22:13, 447,1381,1828,0.755,3.089
  72,Feb/24/2020,06:22:31, 337,1449,1786,0.811,4.299
  73,Feb/24/2020,06:23:03, 372,1236,1608,0.768,3.322
  74,Feb/24/2020,06:23:20, 346,1312,1658,0.791,3.791
